utc_timestamp,DE_KN_residential4_grid_import,DE_KN_residential4_grid_export,temp,holiday,season_Autumn,season_Spring,season_Summer,season_Winter,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
2015-10-10,1.83784017374159,0.0,7.918333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-10-11,5.08383965643875,3.193532663753371,6.505729166666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-10-12,9.824345398144478,21.28617616303896,5.033854166666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-10-13,14.717635170496875,39.08115949860625,3.545833333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-10-14,27.373166402048955,46.060247279847914,3.9817708333333335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-10-15,36.21624047378854,50.70284489870833,4.354166666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-10-16,50.03461209139687,53.075636774977085,6.444791666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-17,66.07762144102084,55.91740530016458,7.4875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-10-18,83.26627025711979,57.56349860309479,8.38125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-10-19,99.75429744386355,67.40494745799792,10.194791666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-10-20,108.53806627139583,89.8863061395271,8.9828125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-10-21,114.76077733992709,109.05078893769792,9.356770833333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-10-22,124.91937201040626,121.21399718059375,11.739062500000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-10-23,134.6032198060104,132.890261769,10.949479166666668,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-24,140.46340227634374,148.10713554717708,11.135416666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-10-25,144.7798660293229,166.89066972572917,10.560416666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-10-26,150.20613937940627,181.87078530009376,9.911458333333334,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-10-27,155.93864577445834,191.79069168169792,11.886458333333332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-10-28,162.53922175747917,201.9140577382917,12.652604166666668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-10-29,170.11408468980207,211.02478244172917,10.759895833333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-10-30,178.24532803097918,213.81767834848958,10.302604166666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-31,187.92379616490624,216.25841341557293,9.785416666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-11-01,197.48698330344791,223.94298058283334,10.240625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-11-02,204.56025524345833,234.60509429548958,7.463541666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-11-03,216.47506818344792,239.13525875009375,11.317708333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-11-04,235.87873097875,249.65128321154168,13.084375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-11-05,242.2460738594375,270.2962094149896,13.983854166666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-11-06,248.06448883683333,290.2055418030104,15.585416666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-07,254.01496816908332,313.37559278501044,17.184375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-11-08,258.2158163889896,337.658087606125,14.254687500000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-11-09,262.12898655403126,358.8125851680729,14.241145833333334,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-11-10,265.8104170428125,381.4060720523646,13.243229166666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-11-11,269.68921549614583,400.5294263638125,12.00625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-11-12,275.12165093208336,412.18691332535417,12.979166666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-11-13,286.6479668484271,422.2164553171354,11.491145833333334,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-14,293.79721779038545,441.42475578003126,8.792187499999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-11-15,297.9870880447292,465.1151632451875,13.549999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-11-16,302.24094855040624,485.2707217549271,12.129166666666668,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-11-17,308.6087447237604,496.7187000209271,14.071875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-11-18,314.78413634964585,510.9378310579271,12.997916666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-11-19,320.0421966677083,534.1873393712084,11.133333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-11-20,326.6070408694896,546.4298570709583,7.907291666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-21,340.414564435125,548.9287161089063,3.713020833333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-11-22,359.5552084309375,552.1907251034479,2.3989583333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-11-23,377.53739175286455,561.9859096885625,1.7999999999999998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-11-24,393.2667523120208,577.5571445290833,3.203125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-11-25,410.4724462836354,584.9482405321354,5.643229166666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-11-26,428.2404675643542,587.6454671350208,4.635416666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-11-27,447.1884872907292,592.1021644555,3.6989583333333336,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-28,470.86643677318744,594.9676558656771,6.036979166666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-11-29,496.5858494828958,596.5860731820104,9.863541666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-11-30,516.5141733286979,599.5524593134375,9.9546875,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,531.8425447276146,603.5739077586562,11.426562500000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-12-02,549.02369257475,610.8810163302604,10.482291666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-12-03,566.9759396577396,617.7195010934063,8.973958333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-12-04,587.020547747927,619.9340496997291,8.699479166666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-05,610.4807673065833,621.7321618924167,7.20625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-12-06,636.5335749942604,625.4343254441042,9.666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-12-07,654.8846968706874,629.8672469294376,10.411458333333334,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-12-08,672.1903265825729,631.8541953714583,9.906770833333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-12-09,693.5164901524375,633.2139019851354,7.022916666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-12-10,716.595075499448,634.1780970219271,4.3046875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-12-11,737.4536597949896,641.0074961182396,6.371354166666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-12,761.3159664902083,650.298792696625,8.417187499999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-12-13,788.4978163472605,656.6623606511874,8.473437500000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-12-14,810.0014536765001,660.9523501882708,6.927083333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-12-15,832.0504056475521,662.7949973722708,8.4609375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-12-16,854.5189362148958,664.7452590517188,11.886979166666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-12-17,873.4583437105416,671.8104954919376,13.989583333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-12-18,888.9094054253854,680.6702104276042,11.680729166666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-19,906.1721255882395,683.8168212465521,12.533854166666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-12-20,927.4434141190521,685.352126661,11.9203125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-12-21,948.1609938609063,686.498794871573,10.6625,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-12-22,967.1684357624167,693.5759429059167,11.963541666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-12-23,984.0680448273646,703.7854083044584,10.169270833333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-12-24,999.7813367870417,711.9026524184792,10.267708333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-12-25,1013.9625161466666,724.518673750125,9.8734375,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-26,1026.4498836963542,736.0350806491874,11.965104166666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-12-27,1042.07035427375,742.3361256821876,10.40625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-12-28,1067.4558151793751,744.9770159705,9.484375,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-12-29,1093.6445992090623,746.3939993259168,8.744791666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-12-30,1118.2786698475,748.3296686746459,7.477604166666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-12-31,1141.0569476482292,749.4525735535208,8.200520833333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-01,1164.6486437534375,749.8910222086146,5.5453125000000005,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,1188.91751218,750.3571616701771,7.89375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-03,1212.7943237335417,752.0668428631666,6.202604166666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-04,1234.7160825040626,756.0346370817083,6.695833333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,1255.9087664638541,764.2947344428125,6.552083333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-01-06,1277.993859953854,770.7652027613229,6.666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-07,1298.715606045625,773.1575454650209,6.314583333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-08,1323.727977175625,774.6193447233228,4.943229166666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-09,1347.4464704675,775.2219480104167,6.175520833333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-10,1369.4656176431251,775.6781426504687,6.4624999999999995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-11,1392.7901344635418,777.0753501690625,5.5203125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,1411.8453225056248,783.446014870375,5.456770833333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-01-13,1434.4076139931249,788.6078798505208,4.8125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-14,1460.5813685893752,791.2421532705416,2.9968749999999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-15,1485.6003667703126,795.0722330062499,1.8328125000000002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-16,1513.28304042375,797.3040407391978,2.097916666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-17,1538.5757673466667,797.321951651125,-0.6927083333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-18,1568.4329759339582,797.480261587625,-4.028125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,1597.97456709,797.6426201895416,-3.2885416666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-01-20,1629.5831182568752,797.6526909903229,-0.8307291666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-21,1663.1316795034375,803.4790535274375,0.3755208333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-22,1683.521345120521,815.6723334114167,1.8703125,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-23,1703.97268859375,824.6295880657395,5.8671875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-24,1727.5448938085417,829.1776446325938,7.039583333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-01-25,1747.7508377091665,840.2782448115937,10.441666666666666,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,1762.7088176854168,861.0830084602188,9.765625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-01-27,1779.2697210024999,875.4660188885313,9.981250000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-28,1798.5399151003123,878.7874739085624,6.0703125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-29,1817.0761736030208,886.1187212927397,7.266145833333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30,1831.0829995959375,900.7984401821772,6.377083333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-31,1853.7155121447915,907.3526218171459,6.932291666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-01,1875.3653146838542,914.7568342600625,10.4546875,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,1888.5860179858335,926.0221697790416,7.605208333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-02-03,1905.0749636659375,931.9043845705104,4.219791666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-04,1926.2814051067708,935.5453407812291,5.365104166666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-02-05,1944.4253229515625,941.8447812587292,8.644791666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-06,1962.208563446771,950.2197793444375,9.630729166666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-02-07,1981.8935649819794,958.1890307409375,8.106250000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-08,1998.423004178125,970.9005429251042,7.6640625,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,2016.9705541096876,976.6369163088542,4.508854166666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-02-10,2038.9602094446875,980.0773517420729,3.7708333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-11,2056.654379896458,994.3392748436249,3.4583333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-02-12,2073.0949464517707,1013.0758366035416,2.790104166666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-13,2089.2779902082293,1024.6765313234375,1.3369791666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-02-14,2105.2541931097917,1032.8605401028124,1.8890624999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-15,2125.4369831326044,1035.947443455,2.5328125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,2146.9993399927084,1037.2836019541667,-0.01354166666666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-02-17,2167.4728839642707,1038.4535382158333,0.3614583333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-18,2186.320147955729,1049.5946758104167,1.5442708333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-02-19,2202.7391558213544,1060.4109497746874,3.5588541666666664,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-20,2224.0876172691665,1062.83243952625,7.904166666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-02-21,2254.051929378646,1070.3785474771876,10.349479166666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-22,2268.239743919062,1093.4051979497917,7.159375,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,2280.6346842422918,1109.6869567092708,3.338020833333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-02-24,2296.497523675729,1116.9599379472916,2.078125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-25,2316.2294423604167,1120.5812629991667,1.796354166666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
