time,temperature_2m (Â°C),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),is_day (),sunshine_duration (s)
2024-02-29T00:00,10.4,100,100,71,100,0,0.00
2024-02-29T01:00,10.9,100,100,6,100,0,0.00
2024-02-29T02:00,10.6,100,100,11,100,0,0.00
2024-02-29T03:00,10.6,100,100,4,100,0,0.00
2024-02-29T04:00,10.3,100,100,0,100,0,0.00
2024-02-29T05:00,10.2,100,100,96,95,0,0.00
2024-02-29T06:00,10.2,100,100,80,53,0,0.00
2024-02-29T07:00,10.1,100,100,91,0,1,0.00
2024-02-29T08:00,10.2,100,100,100,94,1,0.00
2024-02-29T09:00,10.5,100,100,100,92,1,0.00
2024-02-29T10:00,10.3,100,100,86,90,1,0.00
2024-02-29T11:00,10.6,100,100,100,19,1,0.00
2024-02-29T12:00,10.3,100,100,100,60,1,0.00
2024-02-29T13:00,10.1,100,100,100,88,1,0.00
2024-02-29T14:00,9.6,100,100,100,67,1,0.00
2024-02-29T15:00,9.2,100,87,100,57,1,0.00
2024-02-29T16:00,8.6,100,85,100,98,1,0.00
2024-02-29T17:00,8.1,100,27,100,94,1,0.00
2024-02-29T18:00,7.4,90,2,100,93,0,0.00
2024-02-29T19:00,6.9,90,0,100,100,0,0.00
2024-02-29T20:00,6.4,85,2,100,76,0,0.00
2024-02-29T21:00,6.2,88,7,100,73,0,0.00
2024-02-29T22:00,5.9,86,3,100,79,0,0.00
2024-02-29T23:00,5.5,62,2,100,0,0,0.00
2024-03-01T00:00,5.1,44,16,50,0,0,0.00
2024-03-01T01:00,4.3,0,0,0,0,0,0.00
2024-03-01T02:00,3.9,3,3,0,0,0,0.00
2024-03-01T03:00,3.3,1,1,0,0,0,0.00
2024-03-01T04:00,3.2,16,0,5,44,0,0.00
2024-03-01T05:00,3.4,100,25,92,96,0,0.00
2024-03-01T06:00,4.6,76,0,77,100,0,0.00
2024-03-01T07:00,5.1,100,97,100,100,1,0.00
2024-03-01T08:00,3.8,100,100,100,94,1,0.00
2024-03-01T09:00,5.0,100,67,100,74,1,0.00
2024-03-01T10:00,6.5,69,4,86,46,1,0.00
2024-03-01T11:00,6.5,41,3,59,9,1,3600.00
2024-03-01T12:00,7.7,39,24,28,1,1,3600.00
2024-03-01T13:00,6.7,48,9,48,36,1,3600.00
2024-03-01T14:00,7.9,100,32,82,95,1,3600.00
2024-03-01T15:00,8.4,75,10,71,77,1,3600.00
2024-03-01T16:00,7.6,80,15,97,28,1,3600.00
2024-03-01T17:00,6.9,78,3,97,58,1,3600.00
2024-03-01T18:00,5.1,88,11,96,69,0,0.00
2024-03-01T19:00,4.7,19,8,8,23,0,0.00
2024-03-01T20:00,3.6,88,34,64,65,0,0.00
2024-03-01T21:00,3.3,64,31,38,46,0,0.00
2024-03-01T22:00,3.4,84,28,55,87,0,0.00
2024-03-01T23:00,3.6,63,22,40,64,0,0.00
2024-03-02T00:00,4.0,100,35,100,99,0,0.00
2024-03-02T01:00,3.3,75,6,69,95,0,0.00
2024-03-02T02:00,3.7,100,29,76,98,0,0.00
2024-03-02T03:00,4.2,100,57,100,100,0,0.00
2024-03-02T04:00,4.5,44,10,16,84,0,0.00
2024-03-02T05:00,4.7,52,25,41,17,0,0.00
2024-03-02T06:00,4.4,100,87,94,37,0,0.00
2024-03-02T07:00,5.0,100,57,71,85,1,0.00
2024-03-02T08:00,5.4,100,77,50,78,1,0.00
2024-03-02T09:00,5.9,60,32,39,26,1,3423.07
2024-03-02T10:00,7.0,96,81,35,6,1,3600.00
2024-03-02T11:00,7.2,89,65,50,3,1,3600.00
2024-03-02T12:00,7.6,100,100,58,0,1,3600.00
2024-03-02T13:00,7.5,38,32,16,0,1,3155.79
2024-03-02T14:00,8.0,43,28,29,0,1,3600.00
2024-03-02T15:00,8.0,41,38,11,2,1,3600.00
2024-03-02T16:00,7.8,48,21,26,44,1,3600.00
2024-03-02T17:00,6.8,23,11,8,27,1,3600.00
2024-03-02T18:00,4.9,17,11,3,17,0,110.99
2024-03-02T19:00,4.1,4,5,0,0,0,0.00
2024-03-02T20:00,2.7,27,1,0,87,0,0.00
2024-03-02T21:00,1.6,31,0,1,100,0,0.00
2024-03-02T22:00,1.8,39,0,15,100,0,0.00
2024-03-02T23:00,1.2,33,0,5,100,0,0.00
2024-03-03T00:00,2.2,36,0,11,97,0,0.00
2024-03-03T01:00,2.1,50,20,4,100,0,0.00
2024-03-03T02:00,1.8,38,0,14,100,0,0.00
2024-03-03T03:00,0.4,32,0,4,99,0,0.00
2024-03-03T04:00,-0.2,46,0,28,99,0,0.00
2024-03-03T05:00,0.1,28,1,1,88,0,0.00
2024-03-03T06:00,-0.8,35,2,5,100,0,0.00
2024-03-03T07:00,-1.0,100,97,2,100,1,0.00
2024-03-03T08:00,0.9,79,12,64,100,1,2132.54
2024-03-03T09:00,2.8,80,1,82,100,1,3600.00
2024-03-03T10:00,4.7,85,0,92,100,1,3600.00
2024-03-03T11:00,6.1,90,0,100,100,1,3600.00
2024-03-03T12:00,7.4,90,0,100,100,1,3600.00
2024-03-03T13:00,8.9,100,100,9,99,1,3600.00
2024-03-03T14:00,9.0,100,94,62,100,1,3600.00
2024-03-03T15:00,8.8,100,79,65,100,1,0.00
2024-03-03T16:00,8.6,100,59,64,79,1,0.00
2024-03-03T17:00,7.6,32,14,16,34,1,3069.28
2024-03-03T18:00,7.4,29,24,12,0,0,47.39
2024-03-03T19:00,6.6,8,3,9,0,0,0.00
2024-03-03T20:00,3.4,32,36,0,0,0,0.00
2024-03-03T21:00,1.6,22,25,0,0,0,0.00
2024-03-03T22:00,1.5,10,11,0,0,0,0.00
2024-03-03T23:00,0.5,0,0,0,0,0,0.00
2024-03-04T00:00,0.1,4,5,0,0,0,0.00
2024-03-04T01:00,-0.1,3,3,0,0,0,0.00
2024-03-04T02:00,0.1,0,0,0,0,0,0.00
2024-03-04T03:00,-0.8,4,5,0,0,0,0.00
2024-03-04T04:00,-0.3,0,0,0,0,0,0.00
2024-03-04T05:00,-0.5,9,9,0,2,0,0.00
2024-03-04T06:00,-0.2,15,14,3,1,0,0.00
2024-03-04T07:00,0.2,19,21,0,0,1,0.00
2024-03-04T08:00,3.7,3,3,0,0,1,2935.30
2024-03-04T09:00,6.6,4,4,0,3,1,3600.00
2024-03-04T10:00,9.1,55,60,1,0,1,3600.00
2024-03-04T11:00,10.1,77,59,10,61,1,3600.00
2024-03-04T12:00,10.5,85,46,58,28,1,3600.00
2024-03-04T13:00,11.2,92,10,88,100,1,3600.00
2024-03-04T14:00,9.8,88,0,97,100,1,2169.12
2024-03-04T15:00,9.2,90,0,100,100,1,0.00
2024-03-04T16:00,8.6,95,6,100,100,1,0.00
2024-03-04T17:00,8.3,91,1,100,100,1,0.00
2024-03-04T18:00,8.0,92,2,100,100,0,0.00
2024-03-04T19:00,8.0,95,6,100,100,0,0.00
2024-03-04T20:00,7.5,100,76,100,100,0,0.00
2024-03-04T21:00,6.2,100,100,100,100,0,0.00
2024-03-04T22:00,6.0,100,100,100,100,0,0.00
2024-03-04T23:00,6.2,100,99,100,100,0,0.00
2024-03-05T00:00,6.4,100,70,100,100,0,0.00
2024-03-05T01:00,6.5,100,100,100,100,0,0.00
2024-03-05T02:00,6.5,100,100,100,43,0,0.00
2024-03-05T03:00,6.5,100,48,100,99,0,0.00
2024-03-05T04:00,6.3,100,40,96,100,0,0.00
2024-03-05T05:00,6.1,100,38,83,100,0,0.00
2024-03-05T06:00,5.4,75,31,43,72,0,0.00
2024-03-05T07:00,4.5,21,13,15,1,1,0.00
2024-03-05T08:00,5.8,53,36,34,0,1,3073.27
2024-03-05T09:00,7.4,46,42,13,0,1,3600.00
2024-03-05T10:00,8.5,100,58,98,2,1,3600.00
2024-03-05T11:00,9.1,100,100,69,8,1,1707.44
2024-03-05T12:00,9.7,100,100,94,10,1,184.75
2024-03-05T13:00,9.8,100,99,95,10,1,3600.00
2024-03-05T14:00,10.1,100,100,43,13,1,1471.53
2024-03-05T15:00,10.6,100,100,36,19,1,2651.42
2024-03-05T16:00,10.1,100,79,55,18,1,0.00
2024-03-05T17:00,8.8,65,7,75,46,1,746.25
2024-03-05T18:00,7.2,69,44,42,15,0,0.00
2024-03-05T19:00,5.7,36,22,27,0,0,0.00
2024-03-05T20:00,5.4,30,3,45,0,0,0.00
2024-03-05T21:00,5.1,13,1,20,0,0,0.00
2024-03-05T22:00,4.3,1,0,1,0,0,0.00
2024-03-05T23:00,3.8,0,0,0,0,0,0.00
2024-03-06T00:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T01:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T02:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T03:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T04:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T05:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T06:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T07:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T08:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T09:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T10:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T11:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T12:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T13:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T14:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T15:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T16:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T17:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-06T18:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T19:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T20:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T21:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T22:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-06T23:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T00:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T01:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T02:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T03:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T04:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T05:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T06:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T07:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T08:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T09:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T10:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T11:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T12:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T13:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T14:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T15:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T16:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T17:00,NaN,NaN,NaN,NaN,NaN,1,NaN
2024-03-07T18:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T19:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T20:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T21:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T22:00,NaN,NaN,NaN,NaN,NaN,0,NaN
2024-03-07T23:00,NaN,NaN,NaN,NaN,NaN,0,NaN
